作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
正答,2020-09-09 00:07:09,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-16,2,yukari05831k,5,,,1.95,10,1.95,
回答開始,2020-09-09 00:07:15,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-12,4,yukari05831k,,,,1.95,10,1.95,
正答,2020-09-09 00:07:15,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-22,3,yukari05831k,4,,,1.95,10,1.95,
回答開始,2020-09-09 00:07:19,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-10,5,yukari05831k,,,,1.95,10,1.95,
正答,2020-09-09 00:07:19,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-12,4,yukari05831k,3,,,1.95,10,1.95,
回答開始,2020-09-09 00:07:25,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-20,6,yukari05831k,,,,1.95,10,1.95,
正答,2020-09-09 00:07:25,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-10,5,yukari05831k,4,,,1.95,10,1.95,
回答開始,2020-09-09 00:07:31,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-20,7,yukari05831k,,,,1.95,10,1.95,
正答,2020-09-09 00:07:31,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-20,6,yukari05831k,4,,,1.95,10,1.95,
合格,2020-09-09 00:07:37,tomomi02261,8,神奈川県,藤沢市,dq50,,,,,mariko06981k,29,0.74,0.07,2.76,10,2.76,
回答開始,2020-09-26 09:43:39,martina03721,10,青森県,黒石市,dq29,,,dq29-34,1,keiko03851k,,,,8.24,10,0,
回答開始,2020-09-26 09:43:44,martina03721,10,青森県,黒石市,dq29,,,dq29-6,2,keiko03851k,,,,8.24,10,0,
正答,2020-09-26 09:43:44,martina03721,10,青森県,黒石市,dq29,,,dq29-34,1,keiko03851k,4,,,8.24,10,0,
回答開始,2020-09-26 09:43:48,martina03721,10,青森県,黒石市,dq29,,,dq29-23,3,keiko03851k,,,,8.24,10,0,
正答,2020-09-26 09:43:48,martina03721,10,青森県,黒石市,dq29,,,dq29-6,2,keiko03851k,3,,,8.24,10,0,
回答開始,2020-09-26 09:43:52,martina03721,10,青森県,黒石市,dq29,,,dq29-22,4,keiko03851k,,,,8.24,10,0,
正答,2020-09-26 09:43:52,martina03721,10,青森県,黒石市,dq29,,,dq29-23,3,keiko03851k,4,,,8.24,10,0,
回答開始,2020-09-26 09:44:01,martina03721,10,青森県,黒石市,dq29,,,dq29-19,5,keiko03851k,,,,8.24,10,0,
正答,2020-09-26 09:44:01,martina03721,10,青森県,黒石市,dq29,,,dq29-22,4,keiko03851k,8,,,8.24,10,0,
回答開始,2020-09-26 09:44:08,martina03721,10,青森県,黒石市,dq29,,,dq29-36,6,keiko03851k,,,,8.24,10,0,
正答,2020-09-26 09:44:08,martina03721,10,青森県,黒石市,dq29,,,dq29-19,5,keiko03851k,7,,,8.24,10,0,
回答開始,2020-09-26 09:44:13,martina03721,10,青森県,黒石市,dq29,,,dq29-36,7,keiko03851k,,,,8.24,10,0,
正答,2020-09-26 09:44:13,martina03721,10,青森県,黒石市,dq29,,,dq29-36,6,keiko03851k,4,,,8.24,10,0,
合格,2020-09-26 09:44:20,martina03721,10,青森県,黒石市,dq29,,,,,mariko06981k,48,0.64,0.06,8.94,10,0,
回答開始,2020-09-26 13:57:04,remi05581,12,神奈川県,平塚市,dq50,,,dq50-9,1,yukari05831k,,,,0,10,0,
回答開始,2020-09-26 13:57:13,remi05581,12,神奈川県,平塚市,dq50,,,dq50-13,2,yukari05831k,,,,0,10,0,
誤答,2020-09-26 13:57:13,remi05581,12,神奈川県,平塚市,dq50,,,dq50-9,1,yukari05831k,8,,,0,10,0,
回答開始,2020-09-26 13:57:17,remi05581,12,神奈川県,平塚市,dq50,,,dq50-13,3,yukari05831k,,,,0,10,0,
誤答,2020-09-26 13:57:17,remi05581,12,神奈川県,平塚市,dq50,,,dq50-13,2,yukari05831k,3,,,0,10,0,
